Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Matched Audience Targeting Consumption (Video Click),Negative feedback from users: Hide all
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2284,678,86,81,3,2,26,,26,,19889.755,12.376,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"It’s giving Wednesday vibes 🌤️

Kamusta, Kikays? Surviving the week so far? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,1/20/2026 20:42,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02SZaKri56HGQsHqGAE1nJitVtVD38dndT15PyNQwspF32bAmgCEHZZR1UGBsxyaSFl,0,0,Photos,,,,,Lifetime,1594,619,64,51,10,3,130,73,57,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Ikaw na lang ang katabi 🎶💕

Heart this if gusto niyo rin akong katabi, Kikays 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ikaw na lang ang katabi 🎶💕

Heart this if gusto niyo rin akong katabi, Kikays 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/20/2026 2:50,uploaded,https://www.facebook.com/reel/920087397343191/,1,0,Videos,,,,,Lifetime,2563,550,140,110,25,5,121,,121,,20131.404,13.209,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Blue never looked this sexy! 💙

Nanonood ka ba ng Color Game palagi? If yes, drop a 💙 and stay tuned lagi! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/19/2026 20:12,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02Y5n8ohKCRPXPFgDAo4ch2Pz5znay2GgUVCC9wM3Phvj3gLXGDAh89iPc5pXtRcE2l,0,0,Photos,,,,,Lifetime,2676,972,85,60,17,8,324,198,126,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Maki-dance muna with me, Kikays! 

Start your week right with confidence, consistency, and the mindset to win! 💪

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Maki-dance muna with me, Kikays! 

Start your week right with confidence, consistency, and the mindset to win! 💪

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",14,1/19/2026 2:20,N/A,https://www.facebook.com/reel/4178504942401185/,0,0,Videos,,,,,Lifetime,2361,901,133,112,19,2,93,,93,,15512.33,9.557,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Gawin nating fun at makulay ang gabi niyo! 🥰🌸
Seeyou later again 10pm-5am

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/18/2026 19:51,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0427WPbHRGemL2bdQ8M88zBBh5hLC4AyJLREe3sWyVXCc4EkjQY4vfbkS7mNzrSyTl,0,0,Photos,,,,,Lifetime,2611,1058,97,77,16,4,212,159,53,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Impossibleng hindi niyo alam ‘tong sikat na dance craze na ‘to 10 years ago 😱🥰

Pusuan niyo nga ‘to kung alam niyo rin ‘to 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Impossibleng hindi niyo alam ‘tong sikat na dance craze na ‘to 10 years ago 😱🥰

Pusuan niyo nga ‘to kung alam niyo rin ‘to 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/18/2026 2:55,N/A,https://www.facebook.com/reel/846009598263652/,0,0,Videos,,,,,Lifetime,2145,713,129,102,21,6,136,,136,,13948.154,8.929,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Kikays! Kung hanap niyo ay saya at excitement, nasa Color Game na lahat yan! 🥳

Panoorin ako palagi LIVE at maki-kulay na sa kasiyahan! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/17/2026 21:05,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02VNQbctP4Uo3LGv5QS7ioRHsqcVgsgyHoRHTMtS6F9ymKSaGwvhoXrEtjuDUGHgUrl,0,0,Photos,,,,,Lifetime,3499,1380,93,71,15,7,349,230,119,,,,,,,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Mahal niyo naman ako diba, Kikays? 🥰

If yes, samahan niyo ako palagi sa Color Game! Your love + support means everything 🥹🩷
 
#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Mahal niyo naman ako diba, Kikays? 🥰

If yes, samahan niyo ako palagi sa Color Game! Your love + support means everything 🥹🩷
 
#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",8,1/17/2026 2:56,mixed,https://www.facebook.com/reel/2341608916354732/,0,0,Videos,,,,,Lifetime,757,378,44,29,13,2,37,,37,,3077.642,6.255,0,0,0,,
1.22186E+17,6.15615E+13,JUANKada Host Ikay,"Just come be the man I need 🎶

Don’t be shy Kikays, heart this post if you also know your worth 🌸🩷

SEEYOU AGAIN LATER 10pm-5am

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Just come be the man I need 🎶

Don’t be shy Kikays, heart this post if you also know your worth 🌸🩷

SEEYOU AGAIN LATER 10pm-5am

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",25,1/16/2026 20:00,N/A,https://www.facebook.com/reel/1376967053676452/,1,0,Videos,,,,,Lifetime,1210,450,82,66,11,5,55,,55,,9333.233,9.865,0,0,0,,
