Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 19:27,N/A,https://www.facebook.com/reel/953319173788030/,0,0,Videos,,,,,Lifetime,1183,552,75,62,11,2,69,69,,8281.54,9.847,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 2:58,N/A,https://www.facebook.com/reel/870997119328656/,0,0,Videos,,,,,Lifetime,1083,460,102,88,11,3,60,60,,6619.865,8.132,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 19:31,N/A,https://www.facebook.com/reel/4382663695302653/,1,0,Videos,,,,,Lifetime,1091,559,88,69,15,4,41,41,,6542.277,7.625,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 3:08,mixed,https://www.facebook.com/reel/1174448624769640/,0,0,Videos,,,,,Lifetime,1265,334,87,68,13,6,90,90,,7752.772,8.623,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/26/2026 19:30,N/A,https://www.facebook.com/reel/5158914754334091/,1,0,Videos,,,,,Lifetime,3903,1148,179,150,22,7,320,320,,25724.393,9.323,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/25/2026 21:18,N/A,https://www.facebook.com/reel/877231568540633/,0,0,Videos,,,,,Lifetime,1418,628,95,78,15,2,56,56,,9484.834,9.093,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,🤍,🤍,15,1/25/2026 6:15,N/A,https://www.facebook.com/reel/1180648704058401/,0,0,Videos,,,,,Lifetime,1461,611,117,102,12,3,50,50,,8839.803,8.021,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",22,1/24/2026 19:36,N/A,https://www.facebook.com/reel/899800145871995/,0,0,Videos,,,,,Lifetime,2037,750,111,90,13,8,80,80,,22516.873,14.882,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",12,1/24/2026 2:59,N/A,https://www.facebook.com/reel/887589417500124/,0,0,Videos,,,,,Lifetime,2400,939,134,111,18,5,98,98,,14584.468,8.494,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Hindi ko maipaliwanag 🎶

Kung bakit palagi ko kayong hinahanap, Kikays! Kaya dapat lagi tayong magkasama sa LIVE para walang miss-miss 😘✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Hindi ko maipaliwanag 🎶

Kung bakit palagi ko kayong hinahanap, Kikays! Kaya dapat lagi tayong magkasama sa LIVE para walang miss-miss 😘✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",23,1/23/2026 2:55,mixed,https://www.facebook.com/reel/1632292444427492/,0,0,Videos,,,,,Lifetime,1492,623,121,100,18,3,74,74,,11354.856,9.663,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Week’s OOTD Recap!

Which outfit deserves a round two, Kikays? 😍",,0,1/22/2026 20:50,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02YZddCxoqPSQZz4dnAJFjQ98swEcWKwLsQ8jDxokDwt4nukiEv6qunzJSA1ZDKkd4l,0,0,Photos,,,,,Lifetime,1188,484,44,31,7,6,114,53,61,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,🥰❤️,,0,1/22/2026 19:37,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0327hmnbqxDnxZ81gxEjU3sYGCRKXq8MBJMzrxBdCxp7xSvsFjHLSEDpaXKDjp7ahul,0,1,Text,,,,,Lifetime,187,157,10,8,2,0,3,3,,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Kapag naririnig niyo 'to nasa kabilang banda kami ng hinahanap niyo 🎶😜

Drop a “🧡” kung napahataw ka rin nung nakita mo ’to!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies","Kapag naririnig niyo 'to nasa kabilang banda kami ng hinahanap niyo 🎶😜

Drop a “🧡” kung napahataw ka rin nung nakita mo ’to!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",14,1/22/2026 3:02,N/A,https://www.facebook.com/reel/2272510593232016/,0,0,Videos,,,,,Lifetime,1616,704,80,70,7,3,40,40,,9648.625,7.87,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"On Thursdays, we wear white! Fresh look, fresh vibes 🤍✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabie",,0,1/21/2026 21:30,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid07mmnfrsFub7CeLXhCtvP6Dm7qMMKC1t139sZLHWQdyRZnv5BAVEpnjihUWLuiCBel,0,0,Photos,,,,,Lifetime,982,417,49,37,11,1,77,28,49,,,,,,,,
