Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Matched Audience Targeting Consumption (Video Click)
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2345,716,86,81,3,2,,26,26,,,20249.255,12.183,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 20:54,N/A,https://www.facebook.com/reel/3730376783760419/,0,0,Videos,,,,,Lifetime,875,251,70,56,12,2,,65,65,,,6299.968,10.552,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 2:57,uploaded,https://www.facebook.com/reel/1432024291882506/,0,0,Videos,,,,,Lifetime,1952,1148,85,76,7,2,,57,57,,,12267.088,8.178,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 19:27,N/A,https://www.facebook.com/reel/953319173788030/,0,0,Videos,,,,,Lifetime,1303,584,82,68,12,2,,73,73,,,8949.856,9.48,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 2:58,N/A,https://www.facebook.com/reel/870997119328656/,0,0,Videos,,,,,Lifetime,1129,479,103,89,11,3,,60,60,,,6821.205,7.968,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 19:31,N/A,https://www.facebook.com/reel/4382663695302653/,1,0,Videos,,,,,Lifetime,1131,573,88,69,15,4,,41,41,,,6687.053,7.479,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 3:08,mixed,https://www.facebook.com/reel/1174448624769640/,0,0,Videos,,,,,Lifetime,1292,350,87,68,13,6,,93,93,,,7900.535,8.55,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/26/2026 19:30,N/A,https://www.facebook.com/reel/5158914754334091/,1,0,Videos,,,,,Lifetime,3972,1159,179,150,22,7,,322,322,,,26146.899,9.298,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/25/2026 21:18,N/A,https://www.facebook.com/reel/877231568540633/,0,0,Videos,,,,,Lifetime,1436,634,95,78,15,2,,56,56,,,9536.116,8.987,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,🤍,🤍,15,1/25/2026 6:15,N/A,https://www.facebook.com/reel/1180648704058401/,0,0,Videos,,,,,Lifetime,1476,615,117,102,12,3,,50,50,,,8877.058,7.954,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",22,1/24/2026 19:36,N/A,https://www.facebook.com/reel/899800145871995/,0,0,Videos,,,,,Lifetime,2053,757,112,91,13,8,,80,80,,,22623.55,14.805,0,0,0,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",12,1/24/2026 2:59,N/A,https://www.facebook.com/reel/887589417500124/,0,0,Videos,,,,,Lifetime,2412,945,134,111,18,5,,98,98,,,14642.004,8.473,0,0,0,
