Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Matched Audience Targeting Consumption (Video Click)
1.22115E+17,6.15844E+13,Juankada Sabbie,"𝑹𝒆𝒂𝒍 𝒉𝒖𝒆, 𝒔𝒍𝒂𝒚 𝒊𝒏 𝒃𝒍𝒖𝒆🩵

Did you catch me on LIVE Sabbies? 🤗
Magkita-kita ulit tayo bukas! ❤️

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels #fyp 
#reels #foryourpage",,0,1/15/2026 21:10,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02uYLa7mZ3oNj9o31RiVLdx53zCNPTgwAXYTNDY65jhQZXJWKoU5fAaMtNwzD4evUfl&id=61584361885503,0,0,Photos,,,,,Lifetime,419,161,32,25,6,1,32,19,13,,,,,,,,
1.22115E+17,6.15844E+13,Juankada Sabbie,"Mga sabbies kooo! Join me LIVE NOW! 💋

Tara na! Nood na, kulitan tayo at makipagsabayan sa Color Game!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Mga sabbies kooo! Join me LIVE NOW! 💋

Tara na! Nood na, kulitan tayo at makipagsabayan sa Color Game!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",40,1/15/2026 18:18,mixed,https://www.facebook.com/reel/3521117061375069/,0,0,Videos,,,,,Lifetime,1132,299,91,82,7,2,165,,165,,,13611.635,16.281,0,0,0,
1.22115E+17,6.15844E+13,Juankada Sabbie,"Officially off today pero sumasagi pa rin kayo sa isip ko? 😂 

 Miss niyo rin ba ako, Sabbies? 🙈

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Officially off today pero sumasagi pa rin kayo sa isip ko? 😂 

 Miss niyo rin ba ako, Sabbies? 🙈

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",16,1/15/2026 4:29,N/A,https://www.facebook.com/reel/1177156644454243/,0,0,Videos,,,,,Lifetime,243,158,15,13,1,1,11,,11,,,1387.398,7.459,0,0,0,
1.22115E+17,6.15844E+13,Juankada Sabbie,"🌄 sabbies

pause & breathe💛

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","🌄 sabbies

pause & breathe💛

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",19,1/14/2026 2:32,N/A,https://www.facebook.com/reel/1501782357551781/,0,0,Videos,,,,,Lifetime,258,146,19,13,5,1,21,,21,,,1676.729,9.263,0,0,0,
1.22115E+17,6.15844E+13,Juankada Sabbie,"Hello sabbies 💕

Off today  ✨rest & reset 🤍💙

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",,0,1/14/2026 0:40,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid036VHXk5ajLcmCS764b4nJfJpV14xjqXVQ5kssz8JKd1X9dJj6Q2PKm4Ceer3vNP9Al&id=61584361885503,0,0,Photos,,,,,Lifetime,459,165,30,22,6,2,41,26,15,,,,,,,,
1.22115E+17,6.15844E+13,Juankada Sabbie,"Don’t live in black and white, Sabbies!🫰

Make your life more exciting add color, add fun, add Juan365 to your game life! Tara na at maglaro sa Juan365 website!🎨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Don’t live in black and white, Sabbies!🫰

Make your life more exciting add color, add fun, add Juan365 to your game life! Tara na at maglaro sa Juan365 website!🎨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",7,1/13/2026 5:31,N/A,https://www.facebook.com/reel/1558473721866271/,0,0,Videos,,,,,Lifetime,2639,1245,43,39,3,1,66,,66,,,9832.675,5.898,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Pwede ba ako muna ang kasama ninyo tonight Sabbies? 💙

Tuloy-tuloy ang pamimigay ng swerte humabol na at mag-log in sa Juan365 app/website🫰

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Pwede ba ako muna ang kasama ninyo tonight Sabbies? 💙

Tuloy-tuloy ang pamimigay ng swerte humabol na at mag-log in sa Juan365 app/website🫰

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",16,1/12/2026 6:40,N/A,https://www.facebook.com/reel/852277824465982/,0,0,Videos,,,,,Lifetime,334,183,34,28,5,1,22,,22,,,3396.889,14.964,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Hello, Sabbies! 🤗

LIVE na kami nila Juankada host LIGAYA at Juankada host GEOFF  Andito na ang saya at swerte para sa inyo ngayong araw kaya tara na, sama-sama tayong mag enjoy!☺️

Log in na sa JUAN365 App/Website!🥳

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",,0,1/12/2026 1:01,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02pBk9RP61WqhBDMug4CD3fZnwkA8nqWB4u6iYRCgESJs6YFpehfpc131EL188HfqXl&id=61584361885503,0,0,Photos,,,,,Lifetime,411,175,24,22,1,1,12,11,1,,,,,,,,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Sabbies! Sasayawan ko muna kayo kahit kakagising ko lang 🥱

bago tayo mag-LIVE para magbigay ng saya, kilig, at swerte sa inyo! Handa na ba kayo?😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Sabbies! Sasayawan ko muna kayo kahit kakagising ko lang 🥱

bago tayo mag-LIVE para magbigay ng saya, kilig, at swerte sa inyo! Handa na ba kayo?😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",15,1/11/2026 21:49,mixed,https://www.facebook.com/reel/1534654107829756/,0,0,Videos,,,,,Lifetime,398,194,49,39,6,4,31,,31,,,3068.251,12.273,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Hello SABBIES! 😍
Gusto niyo rin ba ng SWERTE at PANALO? 🍀💸 anim na triple na tayo. Habol na Juankada

TARA NA SA LIVE!
Mag-log in na sa JUAN365 APP/ Website
Baka ikaw na ang susunod na panalo!

🎉 MINOR / x5 WINNERS – GREEN 🎉
🎉MINOR / x5 WINNERS -  GREEN 🎉
🎉 x10 WINNER 🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",,0,1/11/2026 1:34,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02FZu36Zp9NNv1wzQfBFS6nj8NdTJB3pLHejKRUyDHN4S3NzT8D6biRNazMZ6N2po6l&id=61584361885503,0,0,Photos,,,,,Lifetime,424,167,39,25,8,6,33,17,15,1,,,,,,,
1.22114E+17,6.15844E+13,Juankada Sabbie,"THANKYOUSOMUCH SABBIES!! 💖

Grabe kayo kanina! 🔥 Maraming salamat po sa laging suporta ninyo Sabbies ☺️ bukas ulit 2pm-10pm padin tayo.

Eto muna panuorin nyo while im not on live! Still serving you hot 🔥😜

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","THANKYOUSOMUCH SABBIES!! 💖

Grabe kayo kanina! 🔥 Maraming salamat po sa laging suporta ninyo Sabbies ☺️ bukas ulit 2pm-10pm padin tayo.

Eto muna panuorin nyo while im not on live! Still serving you hot 🔥😜

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",15,1/10/2026 5:53,N/A,https://www.facebook.com/reel/2247954392351417/,0,0,Videos,,,,,Lifetime,316,175,33,27,4,2,23,,23,,,2351.081,11.468,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"SABBIES! Look who’s here! The one and only Babygirl JUANABABESENA~🥰

Nag sama ang mga baby girl na hindi nagpapatalo sa dance floor!🤭

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","SABBIES! Look who’s here! The one and only Babygirl JUANABABESENA~🥰

Nag sama ang mga baby girl na hindi nagpapatalo sa dance floor!🤭

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",21,1/10/2026 3:59,uploaded,https://www.facebook.com/reel/755081327059927/,0,0,Videos,,,,,Lifetime,303,184,24,20,2,2,17,,17,,,2492.93,11.703,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Sabbies… Ready na ba kayo saluhin ang swerteng dala ng inyong pretty Sabbie?😉

Walong triple color lang naman tayo kahapon Sabbies at lima don minor jackpot ☺️

Mamaya ulit Sabbies 2-10pm! See youuuu!😘

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Sabbies… Ready na ba kayo saluhin ang swerteng dala ng inyong pretty Sabbie?😉

Walong triple color lang naman tayo kahapon Sabbies at lima don minor jackpot ☺️

Mamaya ulit Sabbies 2-10pm! See youuuu!😘

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",31,1/9/2026 21:55,N/A,https://www.facebook.com/reel/1496423099152573/,0,0,Videos,,,,,Lifetime,177,131,24,16,6,2,12,,12,,,809.213,5.121,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Look who’s back Sabbies! 😉

Your Juankada Host Sabbie is ready to give you a happy days ahead!😘

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Look who’s back Sabbies! 😉

Your Juankada Host Sabbie is ready to give you a happy days ahead!😘

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",16,1/9/2026 4:58,N/A,https://www.facebook.com/reel/887954503730230/,0,0,Videos,,,,,Lifetime,379,171,21,15,4,2,16,,16,,,2354.813,8.819,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Serving hot 🔥 Sabbie is on fire! 

Magsasabog tayo ng saya at enerhiya 2pm-10pm tayo today.

Ano pang hinihintay ninyo Sabbies. Log in sa Juan365app and website!🥳

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Serving hot 🔥 Sabbie is on fire! 

Magsasabog tayo ng saya at enerhiya 2pm-10pm tayo today.

Ano pang hinihintay ninyo Sabbies. Log in sa Juan365app and website!🥳

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",14,1/9/2026 0:50,N/A,https://www.facebook.com/reel/752064567396318/,0,0,Videos,,,,,Lifetime,193,139,19,16,3,0,10,,10,,,1226.204,7.962,0,0,0,
1.22114E+17,6.15844E+13,Juankada Sabbie,💖🔥,,0,1/9/2026 0:33,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02EmvKW1RvgiZE7hw65MwRpePxV3RBWisY4hbjmMnY7Yyjsswhgtc26dbtDdkwAxztl&id=61584361885503,0,1,Photos,,,,,Lifetime,129,69,6,5,1,0,6,,6,,,,,,,,
1.22114E+17,6.15844E+13,Juankada Sabbie,💖💖,,0,1/7/2026 23:17,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0gUe2FeTkMua8wP8KWaApTErSfLwmqVKoEgV3bMX1eUMQkjNNjtrtSXHiQBNWcN1Hl&id=61584361885503,0,1,Photos,,,,,Lifetime,222,112,30,20,8,2,10,5,5,,,,,,,,
1.22114E+17,6.15844E+13,Juankada Sabbie,"Can't wait to be with you Sabbies!☺️

See you on our LIVE tomorrow, 2pm! Can't wait to see me din ba?😍

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Can't wait to be with you Sabbies!☺️

See you on our LIVE tomorrow, 2pm! Can't wait to see me din ba?😍

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",14,1/7/2026 23:16,N/A,https://www.facebook.com/reel/25940220165570591/,0,0,Videos,,,,,Lifetime,203,142,26,19,5,2,3,,3,,,912.409,5.529,0,0,0,
1.22113E+17,6.15844E+13,Juankada Sabbie,"Dahil daily maintenance tayo ng 1hr from 5am-6am.

Eto muna panuorin nyo 😜

Dont forget to log in sa Juan365 app and website🧡💙

Thankyou so much Sabbies for always supporting on my live! I’ll see you all on friday 2-10pm naman. 😘♥️

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Dahil daily maintenance tayo ng 1hr from 5am-6am.

Eto muna panuorin nyo 😜

Dont forget to log in sa Juan365 app and website🧡💙

Thankyou so much Sabbies for always supporting on my live! I’ll see you all on friday 2-10pm naman. 😘♥️

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",10,1/6/2026 13:06,N/A,https://www.facebook.com/reel/882606100830683/,0,0,Videos,,,,,Lifetime,396,182,32,26,4,2,14,,14,,,2023.958,8.363,0,0,0,
1.22113E+17,6.15844E+13,Juankada Sabbie,"Goodmorning Sabbies! ☺️

Gising pa ba ang lahat? Watch me live and enjoy Color game 🧡💙

Makisaya, makilaro at sabay sabay naten abangan ang swerte nyo ngayon gabi!

Last night na ng nightshift ng inyong Sabbie girl kaya habol naaaa😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels","Goodmorning Sabbies! ☺️

Gising pa ba ang lahat? Watch me live and enjoy Color game 🧡💙

Makisaya, makilaro at sabay sabay naten abangan ang swerte nyo ngayon gabi!

Last night na ng nightshift ng inyong Sabbie girl kaya habol naaaa😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",43,1/6/2026 10:01,N/A,https://www.facebook.com/reel/760136089827954/,0,0,Videos,,,,,Lifetime,226,151,22,18,2,2,4,,4,,,2257.999,12.544,0,0,0,
1.22113E+17,6.15844E+13,Juankada Sabbie,🔥🔥,,0,1/6/2026 8:04,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0tZfAUa75ZsgGE7ETmnU94sgDympAni1zcHfvnxAyhQNa75zvuDXMSfycdHqWenDPl&id=61584361885503,0,1,Photos,,,,,Lifetime,220,100,14,14,0,0,6,3,3,,,,,,,,
1.22113E+17,6.15844E+13,Juankada Sabbie,"We are now Live Sabbies!😉

Ready na kayo sa Kagandahan ko? Ay sa Makulay na laro pala!😅😘

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365ColorGame #JuankadaSabbies
#FollowMe #Trending #FYP #Reels",,0,1/6/2026 6:14,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02eZu849uDQSp7eawVtGwySPSqjKTBiaoZFYtjJCf6ps8hv4EDueEd2RxWTrNb9Fqsl&id=61584361885503,0,0,Photos,,,,,Lifetime,353,152,26,21,2,3,20,18,2,,,,,,,,
