post_id,page_id,title,description,post_type,publish_time,permalink,is_crosspost,is_share,duration_sec,created_at,reactions_total,comments_count,shares_count,views_count,reach_count,total_engagement,pes,fetched_at,total_clicks,page_comments,has_page_comment,qes,viral_coefficient,reactions_like,reactions_love,reactions_wow,reactions_haha,reactions_sad,reactions_angry,reactions_care,reactions_pride,video_views,unique_viewers,avg_watch_time,video_retention,video_complete_views,unique_clicks,link_clicks,impressions,unique_impressions,negative_feedback,hide_clicks,report_spam_clicks,ai_analysis,topics,sentiment,key_phrases
122183337830383179,61561495390240,JUANKada Host Ikay updated their cover photo.,,Photos,2025-12-21T00:43:00,https://www.facebook.com/photo.php?fbid=122183337830383179&set=a.122140909430383179&type=3,0,0,,2026-01-06 01:33:30,9,0,0,2,2,9,9.0,2026-01-06T09:33:30.623598,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122101646247185509,61585565286734,JuanKada Star updated their cover photo.,,Photos,2025-12-29T06:47:00,https://www.facebook.com/photo.php?fbid=122101646247185509&set=a.122101646277185509&type=3,0,0,,2026-01-06 01:33:30,8,0,1,2,1,9,11.0,2026-01-06T09:33:30.623885,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122098593681189322,61585679673115,Juankada Ellise updated their cover photo.,,Photos,2025-12-28T17:58:00,https://www.facebook.com/photo.php?fbid=122098593681189322&set=a.122097515811189322&type=3,0,0,,2026-01-06 01:33:30,28,7,0,2,1,35,42.0,2026-01-06T09:33:30.625323,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122186613290528854,61565865626361,"Malapit na Juankada! Ready na ba kayo maki All in Juan sa Saya?

#Juan365Studios #JuankadaGeoff #Juan365 #ALLINJUANLIVE #JuankadaHosts #Juankada",,Photos,2025-12-21T01:02:00,https://www.facebook.com/photo.php?fbid=122186613290528854&set=a.122095532852528854&type=3,0,0,,2026-01-06 01:33:30,5,0,0,1,1,5,6.0,2026-01-06T09:33:30.625643,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
1301240762041674,100064672885113,Juankada host Drae updated their cover photo.,,Photos,2025-12-28T08:27:00,https://www.facebook.com/photo.php?fbid=1301240762041674&set=a.467749982057427&type=3,0,0,,2026-01-06 01:33:30,2,0,0,0,0,2,2.0,2026-01-06T09:33:30.628672,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122184669344383179,61561495390240,JUANKada Host Ikay updated their cover photo.,,Photos,2026-01-02T18:39:00,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,,2026-01-06 01:33:30,16,1,1,2,1,18,21.0,2026-01-06T09:33:30.636565,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122104867689185509,61585565286734,JuanKada Star updated their cover photo.,,Photos,2026-01-02T18:38:00,https://www.facebook.com/photo.php?fbid=122104867689185509&set=a.122101646277185509&type=3,0,0,,2026-01-06 01:33:30,22,1,1,597,280,24,27.0,2026-01-06T09:33:30.636645,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122104966581189322,61585679673115,Juankada Ellise updated their cover photo.,,Photos,2026-01-04T07:50:00,https://www.facebook.com/photo.php?fbid=122104966581189322&set=a.122097515811189322&type=3,0,0,,2026-01-06 01:33:30,9,0,0,0,0,9,9.0,2026-01-06T09:33:30.637400,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122188074218528854,61565865626361,Juankada Geoff updated their cover photo.,,Photos,2026-01-02T18:40:00,https://www.facebook.com/photo.php?fbid=122188074218528854&set=a.122095532852528854&type=3,0,0,,2026-01-06 01:33:30,1,1,0,0,0,2,18.0,2026-01-06T09:33:30.637681,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
1305562984942785,100064672885113,Juankada host Drae updated their cover photo.,,Photos,2026-01-02T19:39:00,https://www.facebook.com/photo.php?fbid=1305562984942785&set=a.467749982057427&type=3,0,0,,2026-01-06 01:33:30,7,0,0,0,0,7,7.0,2026-01-06T09:33:30.638887,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122110732293147740,927370847106754,"EVOnation! 👑
COLOR GAME LIVE NOW! Pick your color, play your move, claim and MANIFEST YOUR LUCKY COLOR!⚪️🔴🔵🟠🟡🟢

comment ka naman if you're watching now!

Watch color game live now!!

#Juan365Studios #",,Photos,2026-01-07T03:23:04+0000,https://www.facebook.com/122109496725147740/posts/122110732293147740,0,0,,2026-01-08 05:17:55,13,1,1,0,0,15,18.0,2026-01-08T13:17:55.746626,0,0,0,0.0,0.0667,13,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122110956585147740,927370847106754,"Kalma… ’di ka na mamalikmata — ako lang ’yan akala mo lang si Papa P, kamukha nya lang kasi ako 😆

Follow and share for more pa monay🥰😂

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #",,Photos,2026-01-07T22:30:01+0000,https://www.facebook.com/122109496725147740/posts/122110956585147740,0,0,,2026-01-08 05:17:55,1,0,0,0,0,1,1.0,2026-01-08T13:17:55.746626,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
122110800225147740,927370847106754,"Built, bold, and just getting started 💪✨

EVOnation ready ka na ba sa summer body?

React ❤️ if this inspires you
Tag your workout buddy! ⚡️

Music used belongs to its rightful owner. No copyright inf",,Videos,2026-01-07T13:00:16+0000,https://www.facebook.com/reel/1226872479594694/,0,0,,2026-01-08 05:17:55,6,2,2,0,0,10,16.0,2026-01-08T13:17:55.746626,0,0,0,0.0,0.2,6,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,,0,0,,,0.0,
